"title","start_time","end_time","description","exercise_title","superset_id","exercise_notes","set_index","set_type","weight_kg","reps","distance_km","duration_seconds","rpe"
"Monday not so fun day","26 May 2025, 16:50","26 May 2025, 18:02","","Lateral Raise (Dumbbell)",,"",2,"normal",10,15,,,
"Monday not so fun day","26 May 2025, 16:50","26 May 2025, 18:02","","Single Arm Cable Row",,"",0,"normal",75,14,,,
"Monday not so fun day","26 May 2025, 16:50","26 May 2025, 18:02","","Single Arm Cable Row",,"",1,"normal",80,10,,,
"Monday not so fun day","26 May 2025, 16:50","26 May 2025, 18:02","","Single Arm Cable Row",,"",2,"normal",75,11,,,
"Freeeday","23 May 2025, 15:40","23 May 2025, 16:40","","HIIT",,"",0,"normal",,,,1260,
"Freeeday","23 May 2025, 15:40","23 May 2025, 16:40","","Triceps Extension (Suspension)",,"",0,"normal",,15,,,
"Freeeday","23 May 2025, 15:40","23 May 2025, 16:40","","Triceps Extension (Suspension)",,"",1,"normal",,15,,,
"Freeeday","23 May 2025, 15:40","23 May 2025, 16:40","","Triceps Extension (Suspension)",,"",2,"normal",,18,,,
"Freeeday","23 May 2025, 15:40","23 May 2025, 16:40","","Seated Incline Curl (Dumbbell)",,"",0,"normal",16,12,,,
"Freeeday","23 May 2025, 15:40","23 May 2025, 16:40","","Seated Incline Curl (Dumbbell)",,"",1,"normal",16,15,,,
"Freeeday","23 May 2025, 15:40","23 May 2025, 16:40","","Seated Incline Curl (Dumbbell)",,"",2,"normal",18,11,,,
"Freeeday","23 May 2025, 15:40","23 May 2025, 16:40","","Deadlift (Barbell)",,"",0,"normal",100,21,,,
"Freeeday","23 May 2025, 15:40","23 May 2025, 16:40","","Deadlift (Barbell)",,"",1,"normal",100,15,,,
"Freeeday","23 May 2025, 15:40","23 May 2025, 16:40","","Deadlift (Barbell)",,"",2,"normal",100,15,,,
"Lats again?","21 May 2025, 16:38","21 May 2025, 17:52","","HIIT",,"",0,"normal",,,,1260,
"Lats again?","21 May 2025, 16:38","21 May 2025, 17:52","","Pull Up",,"3x negatives pr set",0,"normal",,6,,,
"Lats again?","21 May 2025, 16:38","21 May 2025, 17:52","","Pull Up",,"3x negatives pr set",1,"normal",,6,,,
"Lats again?","21 May 2025, 16:38","21 May 2025, 17:52","","Pull Up",,"3x negatives pr set",2,"normal",,5,,,
"Lats again?","21 May 2025, 16:38","21 May 2025, 17:52","","Lateral Raise (Dumbbell)",,"",0,"normal",10,12,,,
"Lats again?","21 May 2025, 16:38","21 May 2025, 17:52","","Lateral Raise (Dumbbell)",,"",1,"normal",10,12,,,
"Lats again?","21 May 2025, 16:38","21 May 2025, 17:52","","Lateral Raise (Dumbbell)",,"",2,"normal",10,10,,,
"Lats again?","21 May 2025, 16:38","21 May 2025, 17:52","","Single Arm Lat Pulldown",,"",0,"normal",25,18,,,
"Lats again?","21 May 2025, 16:38","21 May 2025, 17:52","","Single Arm Lat Pulldown",,"",1,"normal",50,20,,,
"Lats again?","21 May 2025, 16:38","21 May 2025, 17:52","","Single Arm Lat Pulldown",,"",2,"normal",50,21,,,
"Lats???","14 May 2025, 16:57","14 May 2025, 18:05","","HIIT",,"",0,"normal",,,,1260,
"Lats???","14 May 2025, 16:57","14 May 2025, 18:05","","Single Arm Lat Pulldown",,"",0,"normal",25,12,,,
"Lats???","14 May 2025, 16:57","14 May 2025, 18:05","","Single Arm Lat Pulldown",,"",1,"normal",25,15,,,
"Lats???","14 May 2025, 16:57","14 May 2025, 18:05","","Single Arm Lat Pulldown",,"",2,"normal",25,23,,,
